,ID 1875,ID 1875,ID 1875,ID 1875,ID 1875,ID 1875,ID 1875,ID 2110,ID 2110,ID 2110,ID 2110,ID 2110,ID 2110,ID 2110,ID 1662,ID 1662,ID 1662,ID 1662,ID 1662,ID 1662,ID 1662,ID 1943,ID 1943,ID 1943,ID 1943,ID 1943,ID 1943,ID 1943,ID 2050,ID 2050,ID 2050,ID 2050,ID 2050,ID 2050,ID 2050,ID 1985,ID 1985,ID 1985,ID 1985,ID 1985,ID 1985,ID 1985
,TREVISAN,TREVISAN,TREVISAN,TREVISAN,TREVISAN,TREVISAN,TREVISAN,KARPIUK,KARPIUK,KARPIUK,KARPIUK,KARPIUK,KARPIUK,KARPIUK,BROSSIER,BROSSIER,BROSSIER,BROSSIER,BROSSIER,BROSSIER,BROSSIER,BAUMGART-WITAN,BAUMGART-WITAN,BAUMGART-WITAN,BAUMGART-WITAN,BAUMGART-WITAN,BAUMGART-WITAN,BAUMGART-WITAN,NIEDERBERGER,NIEDERBERGER,NIEDERBERGER,NIEDERBERGER,NIEDERBERGER,NIEDERBERGER,NIEDERBERGER,AZEVEDO,AZEVEDO,AZEVEDO,AZEVEDO,AZEVEDO,AZEVEDO,AZEVEDO
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:03.523,63.001,25.354,6.094,0.416,19.705,20.621,26.87,66.688,30.777,6.148,0.431,21.393,20.780,25.75,69.434,36.281,6.158,0.436,21.453,20.789,23.91,71.257,41.32,5.924,0.359,20.677,20.142,21.68,72.844,47.914,6.203,0.431,20.944,20.982,18.25,73.741,53.214,6.066,0.417,19.533,20.459,15.24
00:03.623,63.399,26.162,6.233,0.468,21.555,21.522,26.62,67.016,31.611,6.270,0.472,21.393,21.670,25.39,69.601,37.152,6.290,0.482,21.453,21.676,23.44,71.32,42.19,6.053,0.408,20.677,21.014,21.17,72.788,48.776,6.320,0.470,20.944,21.838,17.63,73.602,54.151,6.198,0.464,21.351,21.406,14.51
00:03.723,63.784,26.969,6.372,0.519,23.349,22.409,26.33,67.3,32.42,6.392,0.513,23.086,22.526,25.04,69.732,38.036,6.422,0.529,23.197,22.570,22.94,71.362,43.02,6.181,0.456,22.402,21.852,20.60,72.713,49.646,6.438,0.509,22.637,22.710,16.98,73.421,55.072,6.329,0.511,23.236,22.320,13.75
00:03.823,64.177,27.817,6.511,0.570,23.349,23.343,26.03,67.55,33.206,6.514,0.555,24.768,23.352,24.66,69.837,38.891,6.554,0.575,24.951,23.431,22.41,71.38,43.905,6.310,0.505,24.118,22.736,20.04,72.641,50.483,6.555,0.548,24.350,23.550,16.31,73.28,55.919,6.460,0.558,23.236,23.176,12.97
00:03.923,64.589,28.632,6.650,0.621,25.196,24.248,25.71,67.783,34.051,6.636,0.596,24.768,24.221,24.28,69.918,39.805,6.686,0.622,24.951,24.350,21.88,71.408,44.758,6.438,0.554,24.118,23.591,19.43,72.549,51.287,6.673,0.587,24.350,24.348,15.67,73.077,56.799,6.591,0.605,24.996,24.079,12.28
00:04.023,64.946,29.461,6.742,0.649,25.196,25.150,25.43,67.974,34.874,6.704,0.612,24.768,25.065,23.85,70.024,40.71,6.770,0.646,24.951,25.261,21.29,71.416,45.565,6.518,0.577,24.118,24.406,18.84,72.419,52.15,6.766,0.604,24.350,25.220,15.03,72.813,57.588,6.699,0.628,24.996,24.879,11.51
00:04.123,65.265,30.352,6.854,0.674,27.044,26.097,25.09,68.127,35.694,6.794,0.627,26.489,25.894,23.41,70.128,41.612,6.880,0.669,26.779,26.174,20.73,71.386,46.415,6.621,0.601,25.778,25.256,18.28,72.273,53.025,6.859,0.621,26.031,26.107,14.33,72.585,58.419,6.807,0.652,26.689,25.741,10.77
00:04.223,65.582,31.173,6.966,0.698,27.044,26.971,24.69,68.286,36.483,6.885,0.642,26.489,26.699,22.93,70.2,42.497,6.989,0.693,26.779,27.063,20.16,71.343,47.234,6.723,0.624,25.778,26.083,17.66,72.148,53.903,6.953,0.639,26.031,26.980,13.61,72.35,59.207,6.915,0.675,26.689,26.563,10.02
00:04.323,65.875,31.983,7.078,0.723,27.044,27.832,24.33,68.384,37.226,6.975,0.657,28.127,27.446,22.49,70.254,43.393,7.099,0.717,28.574,27.960,19.59,71.218,47.996,6.826,0.648,27.448,26.852,17.05,71.96,54.753,7.046,0.656,27.804,27.851,12.90,71.948,60.152,7.022,0.699,26.689,27.562,9.29
00:04.423,66.137,32.783,7.190,0.748,28.785,28.667,23.97,68.512,38.042,7.065,0.672,29.702,28.272,22.03,70.294,44.236,7.209,0.740,30.315,28.807,18.99,71.142,48.843,6.928,0.671,29.069,27.703,16.42,71.751,55.637,7.139,0.673,29.582,28.748,12.17,71.658,60.949,7.130,0.722,28.535,28.410,8.34
