,ID 2065,ID 2065,ID 2065,ID 2065,ID 2065,ID 2065,ID 2065,ID 1517,ID 1517,ID 1517,ID 1517,ID 1517,ID 1517,ID 1517,ID 1774,ID 1774,ID 1774,ID 1774,ID 1774,ID 1774,ID 1774,ID 2033,ID 2033,ID 2033,ID 2033,ID 2033,ID 2033,ID 2033,ID 1592,ID 1592,ID 1592,ID 1592,ID 1592,ID 1592,ID 1592,ID 1728,ID 1728,ID 1728,ID 1728,ID 1728,ID 1728,ID 1728,ID 1971,ID 1971,ID 1971,ID 1971,ID 1971,ID 1971,ID 1971
,LEDECKA,LEDECKA,LEDECKA,LEDECKA,LEDECKA,LEDECKA,LEDECKA,COUCKUYT,COUCKUYT,COUCKUYT,COUCKUYT,COUCKUYT,COUCKUYT,COUCKUYT,GNAFAKI,GNAFAKI,GNAFAKI,GNAFAKI,GNAFAKI,GNAFAKI,GNAFAKI,FAHR,FAHR,FAHR,FAHR,FAHR,FAHR,FAHR,FRA,FRA,FRA,FRA,FRA,FRA,FRA,DEMES,DEMES,DEMES,DEMES,DEMES,DEMES,DEMES,SMOLINSKA,SMOLINSKA,SMOLINSKA,SMOLINSKA,SMOLINSKA,SMOLINSKA,SMOLINSKA
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:02.989,48.143,3.668,3.384,-0.650,11.141,11.141,31.45,48.655,1.75,2.649,-1.103,8.000,8.000,33.18,73.973,10.221,4.604,-0.472,15.509,15.509,45.06,47.481,0.864,2.588,-1.119,8.000,8.000,32.92,46.425,0.687,2.542,-1.123,8.000,8.000,32.30,50.492,3.336,2.543,-1.123,8.000,8.000,33.38,50.463,1.963,2.542,-1.123,8.000,8.000,34.31
00:03.089,47.809,3.177,3.220,-0.703,11.141,11.141,31.45,48.65,1.703,2.507,-1.119,8.000,8.000,33.17,73.977,10.192,4.358,-0.577,15.509,15.509,45.08,47.516,0.905,2.446,-1.135,8.000,8.000,32.96,46.285,0.553,2.401,-1.139,8.000,8.000,32.34,50.437,3.342,2.401,-1.139,8.000,8.000,33.34,50.475,2.004,2.401,-1.139,8.000,8.000,34.29
00:03.189,47.666,3.023,3.055,-0.756,11.141,11.141,31.56,48.611,1.706,2.366,-1.135,8.000,8.000,33.20,73.993,10.152,4.113,-0.682,15.509,15.509,45.10,47.568,0.951,2.305,-1.151,8.000,8.000,32.96,46.169,0.402,2.259,-1.155,8.000,8.000,32.34,50.206,3.115,2.260,-1.155,8.000,8.000,33.30,50.48,1.984,2.259,-1.155,8.000,8.000,34.27
00:03.289,47.684,3.051,2.890,-0.809,11.141,11.141,31.57,48.602,1.666,2.225,-1.151,8.000,8.000,33.17,74.022,10.104,3.867,-0.787,15.509,15.509,45.14,47.596,0.975,2.164,-1.167,8.000,8.000,32.96,46.077,0.258,2.118,-1.171,8.000,8.000,32.36,50.057,2.634,2.118,-1.171,8.000,8.000,33.30,50.472,1.869,2.118,-1.171,8.000,8.000,34.29
00:03.389,47.633,3.032,2.725,-0.861,11.141,11.141,31.56,48.595,1.654,2.084,-1.167,8.000,8.000,33.19,74.011,10.115,3.622,-0.892,15.509,15.509,45.20,47.543,0.997,2.084,-1.167,8.000,8.000,32.97,46.074,0.226,2.012,-1.165,8.000,8.000,32.40,50.714,3.266,2.012,-1.166,8.000,8.000,33.53,50.471,1.785,2.012,-1.165,8.000,8.000,34.37
00:03.489,47.667,3.189,2.602,-0.881,11.141,11.141,31.54,48.589,1.618,1.978,-1.162,8.000,8.000,33.19,74.046,10.084,3.437,-0.940,15.509,15.509,45.18,47.506,0.996,1.978,-1.162,8.000,8.000,32.91,46.036,0.13,1.906,-1.160,8.000,8.000,32.42,50.467,2.936,1.906,-1.160,8.000,8.000,33.55,50.413,1.651,1.906,-1.160,8.000,8.000,34.43
00:03.589,47.727,3.255,2.478,-0.900,11.141,11.141,31.45,48.569,1.661,1.872,-1.156,8.000,8.000,33.21,74.08,10.06,3.253,-0.988,15.509,15.509,45.23,47.561,0.948,1.872,-1.156,8.000,8.000,32.89,45.963,-0.015,1.800,-1.154,8.000,8.000,32.46,52.498,3.621,1.800,-1.154,8.000,8.000,33.61,50.429,1.646,1.800,-1.154,8.000,8.000,34.48
00:03.689,47.724,3.161,2.355,-0.919,11.141,11.141,31.45,48.577,1.653,1.766,-1.150,8.000,8.000,33.17,74.108,10.035,3.069,-1.036,15.509,15.509,45.27,47.666,0.895,1.766,-1.150,8.000,8.000,32.96,46.048,0.074,1.694,-1.148,8.000,8.000,32.51,52.107,3.232,1.694,-1.149,8.000,8.000,34.56,50.42,1.639,1.694,-1.148,8.000,8.000,34.49
00:03.789,47.6,2.846,2.231,-0.938,11.141,11.141,31.51,48.568,1.65,1.660,-1.145,8.000,8.000,33.18,74.131,10.028,2.885,-1.084,15.509,15.509,45.31,47.613,0.864,1.660,-1.145,8.000,8.000,33.07,46.14,0.188,1.588,-1.143,8.000,8.000,32.51,52.483,3.353,1.588,-1.143,8.000,8.000,34.56,50.386,1.617,1.588,-1.143,8.000,8.000,34.49
00:03.889,47.649,2.838,2.108,-0.957,11.141,11.141,31.65,48.564,1.637,1.554,-1.139,8.000,8.000,33.18,74.206,10.01,2.701,-1.132,15.509,15.509,45.33,47.64,0.8,1.554,-1.139,8.000,8.000,33.06,46.252,0.332,1.528,-1.133,8.000,8.000,32.49,53.113,3.947,1.508,-1.125,8.000,8.000,34.74,50.402,1.67,1.508,-1.125,8.000,8.000,34.48
00:03.989,47.533,2.47,2.000,-0.963,11.141,11.141,31.69,48.541,1.653,1.474,-1.122,8.000,8.000,33.18,74.275,9.997,2.563,-1.145,15.509,15.509,45.39,47.619,0.729,1.474,-1.122,8.000,8.000,33.12,46.411,0.551,1.448,-1.116,8.000,8.000,32.47,53.467,4.213,1.429,-1.108,8.000,8.000,34.77,50.44,1.778,1.429,-1.108,8.000,8.000,34.46
00:04.089,47.511,2.406,1.943,-0.971,11.141,11.141,31.86,48.553,1.588,1.432,-1.116,8.000,8.000,33.15,74.316,9.996,2.490,-1.157,15.509,15.509,45.45,47.543,0.717,1.432,-1.116,8.000,8.000,33.16,46.519,0.687,1.405,-1.109,8.000,8.000,32.43,53.469,4.214,1.384,-1.101,8.000,8.000,34.83,50.335,1.689,1.384,-1.101,8.000,8.000,34.41
00:04.189,47.454,2.334,1.878,-0.980,11.141,11.141,31.89,48.566,1.574,1.384,-1.109,8.000,8.000,33.21,74.348,9.992,2.406,-1.172,15.509,15.509,45.48,47.48,0.698,1.384,-1.109,8.000,8.000,33.11,46.534,0.767,1.354,-1.102,8.000,8.000,32.41,53.469,4.214,1.332,-1.093,8.000,8.000,34.83,50.296,1.678,1.332,-1.093,8.000,8.000,34.40
00:04.289,47.468,2.412,1.801,-0.991,11.141,11.141,31.90,48.558,1.586,1.327,-1.101,8.000,8.000,33.23,74.376,9.985,2.308,-1.189,15.509,15.509,45.51,47.512,0.698,1.327,-1.101,8.000,8.000,33.08,46.493,0.784,1.295,-1.094,8.000,8.000,32.36,53.561,4.757,1.271,-1.084,8.000,8.000,34.83,50.322,1.715,1.271,-1.084,8.000,8.000,34.38
00:04.389,47.526,2.591,1.774,-0.991,11.141,11.141,31.86,48.554,1.584,1.308,-1.096,8.000,8.000,33.21,74.453,9.918,2.274,-1.191,15.509,15.509,45.53,47.485,0.729,1.308,-1.096,8.000,8.000,33.10,46.465,0.84,1.272,-1.088,8.000,8.000,32.32,53.567,4.845,1.246,-1.077,8.000,8.000,34.51,50.345,1.796,1.246,-1.077,8.000,8.000,34.37
00:04.489,47.596,2.655,1.742,-0.991,11.141,11.141,31.77,48.573,1.584,1.284,-1.090,8.000,8.000,33.21,74.476,9.89,2.232,-1.192,15.509,15.509,45.63,47.414,0.772,1.284,-1.090,8.000,8.000,33.06,46.383,0.849,1.245,-1.080,8.000,8.000,32.26,53.102,5.11,1.216,-1.068,8.000,8.000,34.45,50.376,1.787,1.216,-1.068,8.000,8.000,34.33
00:04.589,47.492,2.454,1.703,-0.992,11.141,11.141,31.78,48.59,1.606,1.255,-1.082,8.000,8.000,33.23,74.513,9.859,2.182,-1.195,15.509,15.509,45.67,47.434,0.808,1.255,-1.082,8.000,8.000,32.98,46.362,0.962,1.212,-1.071,8.000,8.000,32.20,53.102,5.11,1.180,-1.058,8.000,8.000,33.94,50.532,1.922,1.180,-1.058,8.000,8.000,34.36
00:04.689,47.453,2.351,1.654,-0.992,11.141,11.141,31.85,48.599,1.623,1.219,-1.072,8.000,8.000,33.22,74.534,9.843,2.119,-1.197,15.509,15.509,45.72,47.449,0.832,1.219,-1.072,8.000,8.000,32.97,46.284,0.968,1.170,-1.060,8.000,8.000,32.10,53.102,5.11,1.134,-1.045,8.000,8.000,33.94,50.669,2.067,1.134,-1.045,8.000,8.000,34.37
