,ID 978,ID 978,ID 978,ID 978,ID 978,ID 978,ID 978,ID 858,ID 858,ID 858,ID 858,ID 858,ID 858,ID 858,ID 998,ID 998,ID 998,ID 998,ID 998,ID 998,ID 998,ID 684,ID 684,ID 684,ID 684,ID 684,ID 684,ID 684
,DESTER,DESTER,DESTER,DESTER,DESTER,DESTER,DESTER,EITEL,EITEL,EITEL,EITEL,EITEL,EITEL,EITEL,NAIDON,NAIDON,NAIDON,NAIDON,NAIDON,NAIDON,NAIDON,STRASKY,STRASKY,STRASKY,STRASKY,STRASKY,STRASKY,STRASKY
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:05.770,24.821,82.017,3.656,0.290,18.257,18.357,40.02,25.191,82.041,3.623,0.288,17.013,17.987,39.85,30.055,82.429,2.217,-0.095,12.064,13.173,36.75,30.156,82.283,2.198,-0.101,12.748,13.062,36.55
00:05.870,24.253,82.025,3.755,0.329,19.403,18.925,40.44,24.666,82.042,3.727,0.332,18.025,18.512,40.20,29.631,82.461,2.302,-0.039,13.258,13.598,37.03,29.826,82.302,2.281,-0.046,12.748,13.393,36.86
00:05.970,23.689,82.037,3.854,0.369,19.403,19.489,40.85,24.146,82.057,3.832,0.376,19.070,19.032,40.57,29.247,82.476,2.388,0.017,13.258,13.982,37.36,29.425,82.294,2.364,0.009,13.880,13.792,37.11
00:06.070,23.125,82.029,3.928,0.392,20.531,20.053,41.26,23.625,82.077,3.924,0.403,19.070,19.553,40.95,28.859,82.471,2.473,0.058,14.454,14.334,37.64,28.983,82.289,2.448,0.051,13.880,14.207,37.38
00:06.170,22.547,82.034,4.016,0.416,20.531,20.631,41.65,23.071,82.09,4.017,0.430,20.145,20.107,41.33,28.503,82.436,2.558,0.100,14.454,14.690,37.91,28.511,82.3,2.533,0.092,13.880,14.679,37.69
00:06.270,21.916,82.049,4.103,0.441,20.531,21.261,42.06,22.463,82.115,4.110,0.457,20.145,20.715,41.73,28.118,82.405,2.643,0.141,14.454,15.074,38.14,28.074,82.308,2.617,0.134,13.880,15.116,38.03
00:06.370,21.376,82.036,4.191,0.465,21.740,21.801,42.52,21.866,82.106,4.202,0.484,20.145,21.311,42.18,27.69,82.421,2.728,0.183,14.454,15.502,38.39,27.664,82.327,2.701,0.176,15.231,15.526,38.35
00:06.470,20.828,82.016,4.279,0.489,22.828,22.349,42.89,21.219,82.098,4.295,0.511,21.350,21.958,42.60,27.262,82.4,2.813,0.225,15.624,15.929,38.70,27.257,82.356,2.786,0.217,15.231,15.933,38.65
00:06.570,20.269,82.005,4.367,0.513,22.828,22.908,43.27,20.57,82.101,4.359,0.524,21.350,22.607,43.05,26.86,82.369,2.882,0.248,15.624,16.319,38.99,26.836,82.382,2.867,0.247,15.231,16.343,38.96
00:06.670,19.693,81.987,4.451,0.530,22.828,23.484,43.65,19.94,82.094,4.441,0.539,22.646,23.237,43.51,26.44,82.335,2.952,0.271,15.624,16.739,39.25,26.462,82.397,2.949,0.277,16.471,16.717,39.28
00:06.770,19.109,81.98,4.536,0.546,23.963,24.068,44.05,19.308,82.091,4.524,0.554,22.646,23.869,43.95,25.988,82.321,3.021,0.295,16.876,17.190,39.52,26.14,82.41,3.030,0.307,16.471,17.038,39.55
00:06.870,18.515,81.97,4.621,0.563,25.141,24.662,44.46,18.68,82.103,4.606,0.569,23.908,24.497,44.39,25.554,82.315,3.090,0.318,16.876,17.624,39.83,25.761,82.433,3.112,0.337,17.547,17.417,39.79
00:06.970,17.919,81.955,4.705,0.579,25.141,25.258,44.87,18.095,82.105,4.688,0.584,23.908,25.082,44.85,25.096,82.317,3.160,0.341,16.876,18.082,40.14,25.31,82.426,3.194,0.366,17.547,17.868,40.07
00:07.070,17.302,81.957,4.790,0.596,25.141,25.874,45.28,17.515,82.106,4.786,0.600,25.121,25.661,45.26,24.648,82.309,3.212,0.350,18.220,18.530,40.46,24.848,82.419,3.255,0.379,17.547,18.330,40.39
00:07.170,16.664,81.954,4.866,0.604,26.354,26.512,45.72,16.848,82.099,4.870,0.612,26.368,26.328,45.67,24.18,82.308,3.264,0.359,18.220,18.998,40.77,24.354,82.387,3.317,0.391,18.954,18.824,40.71
00:07.270,16.026,81.946,4.941,0.612,26.354,27.150,46.17,16.169,82.073,4.955,0.624,26.368,27.007,46.14,23.716,82.322,3.317,0.368,18.220,19.462,41.10,23.804,82.353,3.379,0.404,18.954,19.374,41.04
00:07.370,15.342,81.953,5.017,0.619,27.630,27.834,46.61,15.484,82.062,5.039,0.636,26.368,27.692,46.60,23.263,82.328,3.369,0.377,19.600,19.915,41.44,23.2,82.337,3.441,0.416,18.954,19.978,41.40
00:07.470,14.635,81.967,5.093,0.627,29.021,28.541,47.10,14.783,82.057,5.123,0.649,27.732,28.393,47.08,22.807,82.332,3.421,0.386,19.600,20.371,41.77,22.676,82.284,3.503,0.429,20.109,20.502,41.82
00:07.570,13.926,81.966,5.168,0.635,29.021,29.250,47.61,14.08,82.052,5.191,0.657,27.732,29.096,47.57,22.336,82.353,3.470,0.391,19.600,20.842,42.09,22.169,82.245,3.547,0.429,20.109,21.009,42.15
00:07.670,13.218,81.986,5.237,0.638,29.021,29.957,48.11,13.372,82.035,5.266,0.662,29.136,29.804,48.06,21.881,82.383,3.518,0.396,20.980,21.296,42.44,21.632,82.214,3.591,0.430,21.144,21.545,42.48
00:07.770,12.523,81.992,5.306,0.641,30.438,30.652,48.63,12.691,82.029,5.341,0.666,29.136,30.484,48.55,21.466,82.389,3.566,0.400,20.980,21.711,42.78,21.047,82.16,3.634,0.430,21.144,22.130,42.84
00:07.870,11.816,82.004,5.375,0.643,30.438,31.359,49.12,11.971,82.01,5.415,0.670,30.525,31.204,49.03,21.046,82.371,3.615,0.405,20.980,22.131,43.08,20.49,82.098,3.678,0.430,22.269,22.687,43.21
00:07.970,11.132,82.03,5.444,0.646,31.840,32.043,49.63,11.229,82.007,5.490,0.675,30.525,31.946,49.53,20.649,82.337,3.663,0.410,22.270,22.528,43.36,20.091,82.093,3.722,0.431,22.269,23.086,43.56
00:08.070,10.441,82.06,5.513,0.648,31.840,32.734,50.13,10.483,81.996,5.569,0.675,31.987,32.692,50.05,20.231,82.299,3.712,0.413,22.270,22.946,43.62,19.752,82.094,3.765,0.431,22.269,23.425,43.84
00:08.170,9.755,82.07,5.581,0.650,33.216,33.420,50.64,9.79,82.015,5.627,0.670,31.987,33.385,50.57,19.864,82.267,3.760,0.417,22.270,23.313,43.89,19.345,82.108,3.808,0.431,23.565,23.832,44.08
00:08.270,9.051,82.084,5.649,0.651,33.216,34.124,51.13,9.122,82.051,5.686,0.666,33.426,34.053,51.07,19.483,82.239,3.809,0.421,23.456,23.694,44.13,19.031,82.134,3.852,0.431,23.565,24.146,44.38
00:08.370,8.358,82.101,5.717,0.653,34.606,34.816,51.64,8.45,82.058,5.745,0.661,34.766,34.724,51.57,19.09,82.188,3.858,0.424,23.456,24.087,44.38,18.803,82.14,3.895,0.431,23.565,24.374,44.62
00:08.470,7.671,82.107,5.785,0.654,34.606,35.503,52.14,7.823,82.059,5.804,0.656,34.766,35.351,52.05,18.651,82.14,3.906,0.428,23.456,24.526,44.62,18.446,82.175,3.938,0.431,23.565,24.731,44.79
00:08.570,6.968,82.121,5.855,0.650,35.986,36.206,52.63,7.152,82.052,5.858,0.650,36.064,36.022,52.49,18.189,82.101,3.948,0.428,24.675,24.988,44.89,18.021,82.196,3.974,0.427,24.873,25.156,45.06
00:08.670,6.246,82.128,5.911,0.645,35.986,36.928,53.14,6.506,82.073,5.912,0.645,36.064,36.668,52.96,17.68,82.063,3.991,0.427,24.675,25.497,45.19,17.541,82.205,4.009,0.423,24.873,25.635,45.38
00:08.770,5.537,82.131,5.967,0.641,37.411,37.637,53.66,5.822,82.083,5.966,0.639,36.064,37.352,53.43,17.124,82.059,4.033,0.427,24.675,26.052,45.53,17.11,82.239,4.045,0.419,24.873,26.066,45.72
00:08.870,4.828,82.125,6.023,0.636,37.411,38.346,54.16,5.171,82.099,6.020,0.633,37.394,38.003,53.92,16.599,82.063,4.075,0.426,26.204,26.577,45.92,16.596,82.273,4.080,0.415,26.210,26.580,46.05
00:08.970,4.076,82.116,6.079,0.631,38.829,39.097,54.66,4.475,82.116,6.074,0.627,37.394,38.698,54.40,16.059,82.084,4.118,0.426,26.204,27.117,46.29,16.076,82.262,4.116,0.411,26.210,27.100,46.44
